울산광역시 남구 신정1동|17815|11630.3|1163594|1729022|1164088 1729175;1164287 1728395;1163730 1728211;1163585 1728430;1163066 1728664;1162651 1728939;1162688 1729170;1162790 1729142;1163126 1729189;1163320 1729248;1163444 1729361;1163455 1729448;1163448 1729505;1163438 1729590;1163429 1729773;1163444 1729871;1163584 1729993;1163630 1730021;1163666 1730034;1163733 1730044;1163777 1730047;1163812 1730041;1163929 1729993;1164088 1729175
울산광역시 남구 신정2동|23987|8295.3|1163538|1727353|1163040 1728658;1163679 1728373;1164044 1728315;1164246 1727882;1163983 1727532;1164342 1726749;1164253 1726417;1164025 1726186;1163748 1726251;1163662 1726214;1163520 1726137;1163179 1726472;1162895 1726907;1162841 1726789;1162383 1727034;1162723 1727299;1162781 1727281;1163070 1727531;1162887 1727807;1162884 1727808;1162848 1727817;1162844 1727836;1162952 1727923;1163040 1728658
울산광역시 남구 신정3동|15536|15179.6|1164442|1729212|1164805 1729257;1165021 1728651;1164343 1728420;1164088 1729175;1163995 1729445;1163925 1729821;1163929 1729993;1164070 1729951;1164468 1729822;1164509 1729812;1164640 1729794;1164676 1729789;1164805 1729257
울산광역시 남구 신정4동|19631|20856.9|1164545|1727409|1164561 1727739;1164639 1727769;1164650 1727770;1165193 1727761;1165218 1727758;1165233 1727753;1165253 1727740;1165325 1727672;1165327 1727670;1165332 1727662;1165076 1727314;1164928 1727180;1164375 1726638;1164368 1726638;1164347 1726735;1164336 1726762;1164306 1726830;1163992 1727519;1163956 1727560;1163929 1727585;1164101 1727832;1164246 1727882;1164249 1727883;1164561 1727739
울산광역시 남구 신정5동|8299|13883|1165102|1729386|1165343 1729455;1165355 1729424;1165416 1729259;1165418 1729253;1165449 1729089;1165546 1728829;1165021 1728651;1164805 1729257;1164676 1729789;1165147 1729740;1165343 1729455
울산광역시 남구 달동|26067|20149|1165193|1728265|1165959 1727789;1165760 1727614;1165752 1727610;1165703 1727586;1165699 1727585;1165689 1727584;1165674 1727583;1165393 1727630;1165377 1727635;1165332 1727661;1165329 1727666;1165325 1727672;1165319 1727679;1165242 1727748;1165218 1727758;1165193 1727761;1164650 1727770;1164614 1727764;1164497 1727967;1164343 1728420;1165021 1728651;1165621 1728705;1165784 1728266;1165959 1727789
울산광역시 남구 삼산동|47809|9632.5|1166957|1728880|1166660 1729711;1166965 1729678;1167048 1729699;1167334 1729757;1167415 1729746;1167771 1729571;1168898 1729154;1168889 1728780;1168705 1728668;1168226 1728434;1167819 1728187;1167466 1728015;1166956 1727889;1166386 1727895;1166287 1727930;1166131 1727922;1166039 1727859;1165959 1727789;1165621 1728705;1165416 1729259;1165219 1729732;1165550 1729718;1165941 1729788;1166660 1729711
울산광역시 남구 삼호동|19557|7501|1160954|1729721|1160040 1730409;1160147 1730279;1160296 1730148;1160475 1730057;1160628 1730047;1160747 1730084;1160868 1730130;1161349 1730041;1162023 1729705;1162086 1729668;1162189 1729560;1162244 1729452;1162436 1729273;1162645 1728935;1162208 1728828;1162065 1729089;1161303 1729198;1160742 1729278;1160865 1728821;1160725 1728681;1159980 1728964;1159950 1728986;1159679 1729838;1160040 1730409
울산광역시 남구 무거동|34796|10637.6|1158994|1728757|1159551 1729842;1159912 1729392;1159923 1728891;1160151 1728410;1160129 1728389;1160054 1728394;1159824 1728378;1159775 1728372;1159334 1727941;1159307 1727909;1159116 1727846;1159052 1727759;1158455 1727782;1158292 1728022;1157647 1728054;1157628 1728491;1158380 1728951;1158914 1729668;1158918 1729753;1158910 1729789;1158998 1729974;1159150 1730124;1159340 1730003;1159551 1729842
울산광역시 남구 옥동|24377|2174|1162108|1726843|1161460 1729113;1162558 1728873;1162852 1727877;1162883 1727809;1163027 1727470;1162406 1727135;1162892 1726892;1163413 1726142;1163748 1726251;1164102 1725934;1164035 1724886;1164022 1723867;1163774 1723823;1163010 1724030;1162566 1724754;1162022 1725920;1161460 1726430;1160814 1727120;1159802 1727484;1159724 1728363;1160055 1728390;1160109 1728642;1160865 1728821;1161460 1729113
