stop_id,stop_name,lon,lat,utmk_x,utmk_y,cell_100,cell_1000,zone
24214,현대중공업미포문앞,129.432637,35.53294973,1175216.11,1728050.55,100_1175200_1728000,1000_1175000_1728000,울산광역시 동구
23547,현대중공업용연공장,129.3667225,35.46967528,1169372.33,1720916.64,100_1169300_1720900,1000_1169000_1720000,울산광역시 남구
24230,현대중공업일산문,129.4297793,35.50518078,1175017.29,1724965.16,100_1175000_1724900,1000_1175000_1724000,울산광역시 동구
24229,현대중공업일산문,129.4291149,35.5029945,1174961.77,1724721.47,100_1174900_1724700,1000_1174000_1724000,울산광역시 동구
24211,현대청운고앞,129.4300818,35.53561906,1174978.62,1728342.11,100_1174900_1728300,1000_1174000_1728000,울산광역시 동구
24212,현대청운고앞,129.4302157,35.53585991,1174990.24,1728369.06,100_1174900_1728300,1000_1174000_1728000,울산광역시 동구
30616,현대출고 사무소앞,129.37559,35.55967449,1169987.08,1730915.07,100_1169900_1730900,1000_1169000_1730000,울산광역시 북구
30615,현대출고 사무소앞,129.3758526,35.55933836,1170011.59,1730878.24,100_1170000_1730800,1000_1170000_1730000,울산광역시 북구
30661,현대출고교차로,129.3766801,35.56055327,1170084.03,1731014.43,100_1170000_1731000,1000_1170000_1731000,울산광역시 북구
61405,현대파워텍,129.3549109,35.65361928,1167916.2,1741300.51,100_1167900_1741300,1000_1167000_1741000,울산광역시 북구
71415,현대파크맨션,129.3544846,35.64574958,1167894.08,1740426.82,100_1167800_1740400,1000_1167000_1740000,울산광역시 북구
71416,현대파크맨션,129.3545499,35.64586265,1167899.75,1740439.47,100_1167800_1740400,1000_1167000_1740000,울산광역시 북구
60104,현대패밀리명덕1차,129.4278822,35.52297623,1174806.62,1726935.78,100_1174800_1726900,1000_1174000_1726000,울산광역시 동구
60111,현대패밀리명덕1차,129.4268694,35.52281564,1174715.12,1726916.17,100_1174700_1726900,1000_1174000_1726000,울산광역시 동구
60110,현대패밀리명덕1차,129.4269494,35.52297444,1174722.03,1726933.93,100_1174700_1726900,1000_1174000_1726000,울산광역시 동구
60105,현대패밀리명덕2차,129.4261156,35.52311294,1174646.12,1726947.81,100_1174600_1726900,1000_1174000_1726000,울산광역시 동구
60106,현대패밀리명덕2차,129.4256215,35.52357612,1174600.31,1726998.31,100_1174600_1726900,1000_1174000_1726000,울산광역시 동구
70523,현도골든빌리지,129.415278,35.48565872,1173744.01,1722774.02,100_1173700_1722700,1000_1173000_1722000,울산광역시 동구
70524,현도골든빌리지,129.4151825,35.48595334,1173734.71,1722806.53,100_1173700_1722800,1000_1173000_1722000,울산광역시 동구
76509,협성현대럭키아파트,129.2530712,35.54079036,1158919.15,1728615.8,100_1158900_1728600,1000_1158000_1728000,울산광역시 남구
77732,협진 ENG,129.317728,35.44950992,1164967.62,1718596.86,100_1164900_1718500,1000_1164000_1718000,울산광역시 울주군
77731,협진 ENG,129.3175658,35.44961441,1164952.68,1718608.18,100_1164900_1718600,1000_1164000_1718000,울산광역시 울주군
20106,혜원어린이집,129.1100627,35.56641273,1145907.55,1731236.6,100_1145900_1731200,1000_1145000_1731000,울산광역시 울주군
20105,혜원어린이집,129.1102435,35.56653372,1145923.72,1731250.29,100_1145900_1731200,1000_1145000_1731000,울산광역시 울주군
30561,혜인병원,129.1553164,35.38516469,1150346.09,1711200.54,100_1150300_1711200,1000_1150000_1711000,양산시
30562,혜인병원,129.1555102,35.38489725,1150364.19,1711171.17,100_1150300_1711100,1000_1150000_1711000,양산시
30907,혜인학교,129.3382465,35.57424769,1166572.03,1732467.78,100_1166500_1732400,1000_1166000_1732000,울산광역시 중구
30908,혜인학교,129.3393414,35.5746512,1166670.42,1732514.4,100_1166600_1732500,1000_1166000_1732000,울산광역시 중구
25348,호계주공1단지,129.3580428,35.63216551,1168244.74,1738926.07,100_1168200_1738900,1000_1168000_1738000,울산광역시 북구
25347,호계주공1단지,129.3576552,35.63230825,1168209.34,1738941.24,100_1168200_1738900,1000_1168000_1738000,울산광역시 북구
25324,호계주공아파트,129.3567453,35.63076823,1168130.16,1738768.85,100_1168100_1738700,1000_1168000_1738000,울산광역시 북구
25323,호계주공아파트,129.3566423,35.63054907,1168121.29,1738744.36,100_1168100_1738700,1000_1168000_1738000,울산광역시 북구
25341,호계중학교,129.3595507,35.6319335,1168381.78,1738902.91,100_1168300_1738900,1000_1168000_1738000,울산광역시 북구
25342,호계중학교,129.3594701,35.6320695,1168374.19,1738917.86,100_1168300_1738900,1000_1168000_1738000,울산광역시 북구
14113,호계중학교정문,129.3603374,35.63449336,1168447.65,1739188.22,100_1168400_1739100,1000_1168000_1739000,울산광역시 북구
14116,호계중학교정문,129.3599726,35.63445463,1168414.69,1739183.3,100_1168400_1739100,1000_1168000_1739000,울산광역시 북구
25325,호계초등학교입구.유황사우나,129.3578203,35.62836788,1168232.55,1738504.43,100_1168200_1738500,1000_1168000_1738000,울산광역시 북구
25334,호계한양수자인,129.3601062,35.62276116,1168451.33,1737886.41,100_1168400_1737800,1000_1168000_1737000,울산광역시 북구
25336,호계한양수자인,129.3598579,35.62283855,1168428.68,1737894.57,100_1168400_1737800,1000_1168000_1737000,울산광역시 북구
40369,호반베르디움,129.3608908,35.60377913,1168562.23,1735782.14,100_1168500_1735700,1000_1168000_1735000,울산광역시 북구
40384,호반베르디움,129.3608383,35.6039436,1168557.13,1735800.3,100_1168500_1735800,1000_1168000_1735000,울산광역시 북구
64023,호수공원축구장,129.32094,35.51680207,1165121.41,1726066.51,100_1165100_1726000,1000_1165000_1726000,울산광역시 남구
64024,호수공원축구장,129.3209496,35.5166791,1165122.53,1726052.89,100_1165100_1726000,1000_1165000_1726000,울산광역시 남구
25338,홈골,129.3626363,35.63015033,1168664.96,1738710.4,100_1168600_1738700,1000_1168000_1738000,울산광역시 북구
25337,홈골,129.3628325,35.62992685,1168683.2,1738685.95,100_1168600_1738600,1000_1168000_1738000,울산광역시 북구
12501,홈플러스,129.323583,35.52642396,1165341.36,1727138.24,100_1165300_1727100,1000_1165000_1727000,울산광역시 남구
75002,홈플러스,129.323992,35.52498352,1165381.4,1726979.15,100_1165300_1726900,1000_1165000_1726000,울산광역시 남구
40511,홈플러스,129.3375121,35.56488468,1166524.86,1731427.95,100_1166500_1731400,1000_1166000_1731000,울산광역시 중구
75003,홈플러스,129.3237213,35.52545504,1165355.89,1727031.0,100_1165300_1727000,1000_1165000_1727000,울산광역시 남구
73300,홈플러스 중구점(종점),129.3349917,35.5637782,1166298.71,1731300.95,100_1166200_1731300,1000_1166000_1731000,울산광역시 중구
20207,홈플러스북구점,129.3452664,35.62911332,1167094.06,1738565.71,100_1167000_1738500,1000_1167000_1738000,울산광역시 북구
20208,홈플러스북구점,129.3446262,35.62929389,1167035.71,1738584.65,100_1167000_1738500,1000_1167000_1738000,울산광역시 북구
40512,홈플러스중구점,129.3347612,35.56324391,1166278.92,1731241.3,100_1166200_1731200,1000_1166000_1731000,울산광역시 중구
31704,홈플러스중구점,129.3367448,35.56350415,1166458.17,1731273.51,100_1166400_1731200,1000_1166000_1731000,울산광역시 중구
73309,홈플러스중구점,129.334864,35.56374379,1166287.21,1731296.92,100_1166200_1731200,1000_1166000_1731000,울산광역시 중구
31703,홈플러스중구점,129.3363211,35.56365743,1166419.45,1731289.8,100_1166400_1731200,1000_1166000_1731000,울산광역시 중구
20713,홍골,129.2057683,35.65089432,1154418.94,1740753.61,100_1154400_1740700,1000_1154000_1740000,울산광역시 울주군
20714,홍골,129.2057926,35.65100384,1154420.92,1740765.8,100_1154400_1740700,1000_1154000_1740000,울산광역시 울주군
15835,홍골입구,129.2716572,35.50303416,1160679.45,1724457.9,100_1160600_1724400,1000_1160000_1724000,울산광역시 울주군
15836,홍골입구,129.2717399,35.50303485,1160686.95,1724458.11,100_1160600_1724400,1000_1160000_1724000,울산광역시 울주군
15253,홍상골,129.2712928,35.61758236,1160417.88,1737163.43,100_1160400_1737100,1000_1160000_1737000,울산광역시 울주군
15254,홍상골,129.2709025,35.61822078,1160381.25,1737233.61,100_1160300_1737200,1000_1160000_1737000,울산광역시 울주군
63307,화물공제조합,129.3439987,35.54589115,1167152.22,1729332.08,100_1167100_1729300,1000_1167000_1729000,울산광역시 남구
63309,화물공제조합,129.3440603,35.54601209,1167157.55,1729345.6,100_1167100_1729300,1000_1167000_1729000,울산광역시 남구
71301,화봉고등학교,129.3699092,35.59383284,1169400.19,1734694.33,100_1169400_1734600,1000_1169000_1734000,울산광역시 북구
