node_id,mobile_id,stop_name,lon,lat,cell_100,cell_1000
USB195025502,25502,자동차부품혁신센터,129.36327,35.64986522,100_1168600_1740800,1000_1168000_1740000
USB195025503,25503,평해사입구,129.3653133,35.64832822,100_1168800_1740700,1000_1168000_1740000
USB195025504,25504,평해사입구,129.3652925,35.64800761,100_1168800_1740600,1000_1168000_1740000
USB195025509,25509,리한,129.3652962,35.64366796,100_1168800_1740200,1000_1168000_1740000
USB195025510,25510,리한,129.365343,35.64381689,100_1168800_1740200,1000_1168000_1740000
USB195025511,25511,일신정밀,129.3634139,35.64585846,100_1168700_1740400,1000_1168000_1740000
USB195025512,25512,일신정밀,129.3635381,35.6459639,100_1168700_1740400,1000_1168000_1740000
USB195025513,25513,연지암입구,129.3653259,35.64240985,100_1168800_1740000,1000_1168000_1740000
USB195025514,25514,연지암입구,129.3655511,35.6423084,100_1168900_1740000,1000_1168000_1740000
USB195025515,25515,기백교,129.360672,35.65006419,100_1168400_1740900,1000_1168000_1740000
USB195025516,25516,기백교,129.3608666,35.64992702,100_1168400_1740900,1000_1168000_1740000
USB195025519,25519,매곡현대아파트,129.3548475,35.64269834,100_1167900_1740000,1000_1167000_1740000
USB195025520,25520,매곡현대아파트,129.3545096,35.64261259,100_1167900_1740000,1000_1167000_1740000
USB195025525,25525,매곡푸르지오아파트,129.3524965,35.64393142,100_1167700_1740200,1000_1167000_1740000
USB195025526,25526,매곡푸르지오아파트,129.3527902,35.64344991,100_1167700_1740100,1000_1167000_1740000
USB195025527,25527,극동스타클래스,129.3483162,35.64017932,100_1167300_1739700,1000_1167000_1739000
USB195025528,25528,극동스타클래스,129.3484405,35.64075944,100_1167300_1739800,1000_1167000_1739000
USB195025529,25529,매곡휴먼시아,129.3506223,35.64345618,100_1167500_1740100,1000_1167000_1740000
USB195025530,25530,매곡휴먼시아,129.3508445,35.64335454,100_1167500_1740100,1000_1167000_1740000
USB195025701,25701,LG진로아파트,129.3658864,35.5856997,100_1169000_1733700,1000_1169000_1733000
USB195025702,25702,LG진로아파트,129.3660891,35.5858688,100_1169000_1733800,1000_1169000_1733000
USB195025703,25703,벽산아파트앞,129.3639938,35.58234155,100_1168800_1733400,1000_1168000_1733000
USB195025704,25704,벽산아파트앞,129.3648307,35.58260672,100_1168900_1733400,1000_1168000_1733000
USB195025901,25901,덕양산업,129.3627714,35.58011832,100_1168700_1733100,1000_1168000_1733000
USB195025902,25902,덕양산업,129.3630329,35.57964711,100_1168800_1733100,1000_1168000_1733000
USB195025903,25903,연암사거리,129.3629423,35.5767383,100_1168800_1732700,1000_1168000_1732000
USB195025904,25904,연암사거리,129.3631965,35.57607233,100_1168800_1732700,1000_1168000_1732000
USB195025907,25907,원연암마을,129.363486,35.57387749,100_1168800_1732400,1000_1168000_1732000
USB195025908,25908,원연암마을,129.3637027,35.57398024,100_1168800_1732400,1000_1168000_1732000
USB195025909,25909,대신강업,129.367066,35.57145155,100_1169100_1732200,1000_1169000_1732000
USB195025910,25910,대신강업,129.3656449,35.5716011,100_1169000_1732200,1000_1169000_1732000
USB195025911,25911,SJG세종,129.3673599,35.56943639,100_1169200_1731900,1000_1169000_1731000
USB195025912,25912,SJG세종,129.3675712,35.56945026,100_1169200_1731900,1000_1169000_1731000
USB195025913,25913,효문초등학교,129.3706415,35.56518514,100_1169500_1731500,1000_1169000_1731000
