stop_id,lon,lat
40117,129.3256283,35.46724558
40118,129.3247411,35.46749904
30455,129.1456345,35.56458241
40121,129.333938,35.46128879
40122,129.3341578,35.46103197
30453,129.1446301,35.56120824
30451,129.1511169,35.55697115
15880,129.3380171,35.42262518
15879,129.3382505,35.42247289
30457,129.1535549,35.56064753
15886,129.3416182,35.41088471
15885,129.3417415,35.4110373
66419,129.0825252,35.50958869
63112,129.3032133,35.55873925
63110,129.3040535,35.55896637
23543,129.3576973,35.4904568
23544,129.3575246,35.49049936
57178,129.0929175,35.24056975
59166,129.0450952,35.3296283
59167,129.0453744,35.32976155
72102,129.3110363,35.57749876
72103,129.310879,35.57748997
40523,129.3250739,35.54373298
40524,129.3251689,35.54475218
30363,129.1952932,35.70345142
11411,129.3399541,35.58119489
11410,129.34016,35.58104144
24249,129.3979877,35.51882729
24250,129.3977711,35.51872328
11713,129.3233746,35.57938178
11712,129.3232384,35.57946166
15852,129.3514905,35.4327474
15851,129.3512224,35.4323129
15413,129.1388408,35.55064862
15860,129.3332721,35.42817934
15859,129.3330496,35.42838638
25702,129.3660891,35.5858688
25701,129.3658864,35.5856997
30963,129.2927472,35.55956058
30962,129.2929674,35.56054311
30964,129.2924236,35.56097153
77708,129.3129686,35.43064821
77709,129.3127653,35.43059678
22319,129.2914939,35.45414161
22318,129.2913745,35.45402477
11506,129.33224,35.56033316
15865,129.3503702,35.44257172
15866,129.3506392,35.44259239
40127,129.3343787,35.44659771
40128,129.3350335,35.44639356
15832,129.3461066,35.45011306
15831,129.3458341,35.45013277
25912,129.3675712,35.56945026
25911,129.3673599,35.56943639
23537,129.3618441,35.49229305
23538,129.3617827,35.4921701
40358,129.3106032,35.50275342
40357,129.3116985,35.50282867
74501,129.3302279,35.52276706
74502,129.3302808,35.52290069
23532,129.3809381,35.49363454
23531,129.381053,35.49369552
31525,129.281308,35.43415601
23504,129.344484,35.50995668
23503,129.344225,35.51004845
23520,129.3583045,35.46916849
23519,129.359583,35.46906596
23546,129.3423344,35.50260505
23505,129.3410071,35.50258697
23506,129.3422837,35.50501005
71427,129.3538233,35.65229968
71428,129.3537876,35.65270601
14520,129.3116805,35.60913461
14519,129.3115291,35.60911184
14517,129.3115642,35.6110984
14518,129.3116909,35.61100919
14521,129.3141912,35.60445948
14522,129.3138983,35.60475877
40353,129.323904,35.5086919
40354,129.3238207,35.50834238
11102,129.3436305,35.55328491
11101,129.3435882,35.55315958
30303,129.1940375,35.69401313
30304,129.1938269,35.69187018
30235,129.0490486,35.62080745
30158,129.0960355,35.52284318
30157,129.0957649,35.52272313
30149,129.0906008,35.53184403
30148,129.0906121,35.53164906
15324,129.0747782,35.55485151
15393,129.0748271,35.55466924
15321,129.0725844,35.55716742
15322,129.0728214,35.55713549
23313,129.3552643,35.35942564
23314,129.3552893,35.35979625
23332,129.3566238,35.36390661
23331,129.3565739,35.36378694
23355,129.357767,35.36393026
23354,129.357784,35.36396795
15116,129.1247986,35.61743932
15115,129.1246343,35.61751021
22408,129.2731509,35.52730095
22407,129.2731054,35.52705626
22411,129.2890292,35.52352858
22412,129.288066,35.52462487
59255,129.0784438,35.45901516
59256,129.0788258,35.45917857
77405,129.2953601,35.35553808
77406,129.2955077,35.35542867
