환승거점,구분,항목(노선/목적지구),유형,인원,순위
시외고속버스터미널,도착(환승직전) 노선,722,일반,9,5
시외고속버스터미널,도착(환승직전) 노선,743,일반,9,6
시외고속버스터미널,도착(환승직전) 노선,772,일반,9,7
시외고속버스터미널,도착(환승직전) 노선,482,일반,9,8
시외고속버스터미널,도착(환승직전) 노선,732,일반,8,9
시외고속버스터미널,도착(환승직전) 노선,725,일반,7,10
시외고속버스터미널,환승후 출발 노선,124,일반,44,1
시외고속버스터미널,환승후 출발 노선,북구05(64050),지선,29,2
시외고속버스터미널,환승후 출발 노선,134,일반,17,3
시외고속버스터미널,환승후 출발 노선,753,일반,13,4
시외고속버스터미널,환승후 출발 노선,711,일반,12,5
시외고속버스터미널,환승후 출발 노선,1411,좌석,10,6
시외고속버스터미널,환승후 출발 노선,731,일반,9,7
시외고속버스터미널,환승후 출발 노선,남구05(62050),지선,9,8
시외고속버스터미널,환승후 출발 노선,순환31(66310),일반,7,9
시외고속버스터미널,환승후 출발 노선,743,일반,6,10
시외고속버스터미널,환승후 목적지 구,남구,,95,1
시외고속버스터미널,환승후 목적지 구,동구,,68,2
시외고속버스터미널,환승후 목적지 구,북구,,34,3
시외고속버스터미널,환승후 목적지 구,기타,,12,4
태화강역,도착(환승직전) 노선,134,일반,13,1
태화강역,도착(환승직전) 노선,482,일반,13,2
태화강역,도착(환승직전) 노선,753,일반,12,3
태화강역,도착(환승직전) 노선,1462,좌석,11,4
태화강역,도착(환승직전) 노선,743,일반,8,5
태화강역,도착(환승직전) 노선,순환32(66320),일반,8,6
태화강역,도착(환승직전) 노선,124,일반,7,7
태화강역,도착(환승직전) 노선,5001,리무진,6,8
태화강역,도착(환승직전) 노선,417,일반,5,9
태화강역,도착(환승직전) 노선,713,일반,4,10
태화강역,환승후 출발 노선,124,일반,32,1
태화강역,환승후 출발 노선,순환31(66310),일반,18,2
태화강역,환승후 출발 노선,134,일반,17,3
태화강역,환승후 출발 노선,1462,좌석,11,4
태화강역,환승후 출발 노선,5001,리무진,11,5
태화강역,환승후 출발 노선,711,일반,9,6
태화강역,환승후 출발 노선,482,일반,9,7
태화강역,환승후 출발 노선,1411,좌석,7,8
태화강역,환승후 출발 노선,716-1,일반,6,9
태화강역,환승후 출발 노선,1723,좌석,6,10
태화강역,환승후 목적지 구,북구,,55,1
태화강역,환승후 목적지 구,남구,,53,2
태화강역,환승후 목적지 구,동구,,47,3
태화강역,환승후 목적지 구,울주군,,16,4
태화강역,환승후 목적지 구,중구,,7,5
태화강역,환승후 목적지 구,기타,,1,6
